Date,Enhancement_ppm,Area_ppm.m,Latitude,Longitude,Level,wd_corr,ws_corr,width_m
2019-06-12 14:19:36.900,0.12,9.169512545846468,43.66037333333333,-79.39762333333333,1,91.5,2.9,111.7110918601194
2019-06-12 14:20:00.900,0.08,1.1966257537227334,43.66046666666666,-79.39697333333334,1,100.8,3.0,22.194429082485815
2019-06-12 14:22:21.900,0.08,19.076712234184907,43.66245833333333,-79.394645,1,48.6,2.8,333.14156319423313
2019-06-12 14:27:14.000,0.09,8.678469144495578,43.666775,-79.38819833333334,1,11.6,1.9,144.93260010695187
2019-06-12 14:29:06.000,0.15,17.769573699320016,43.66865,-79.38850833333333,1,247.4,1.1,231.07907180022448
2019-06-12 14:30:27.000,0.07,3.054496041847466,43.67096166666666,-79.39031999999997,1,169.4,1.1,62.64526931027794
2019-06-12 14:45:40.000,0.21,337.8272686158176,43.67669666666666,-79.36561166666667,2,155.9,0.6,3164.986701038765
2019-06-12 14:55:05.100,0.05,0.19885899396817203,43.68875,-79.36272333333334,1,107.1,2.8,6.4912695580961906
2019-06-12 14:57:11.100,0.07,16.659372326685148,43.68829333333333,-79.362045,1,175.9,1.4,312.25719256511275
2019-06-12 14:58:40.100,0.06,4.687087085245632,43.69029166666667,-79.36040333333334,1,8.1,1.3,91.11488182508198
2019-06-12 14:59:33.100,0.14,21.334756581154895,43.69190833333333,-79.35962833333333,1,20.1,1.5,245.66762560548327
2019-06-12 15:03:31.100,0.06,4.628781881324083,43.69791,-79.35365666666667,1,99.0,2.5,98.27599743373432
2019-06-12 15:05:08.100,0.05,0.739094638856372,43.69840166666667,-79.35016333333333,1,13.2,1.2,16.236830789313718
2019-06-12 15:09:51.100,0.07,3.594944024709106,43.69827166666666,-79.34588666666667,1,107.7,1.0,76.39340128443973
2019-06-12 15:10:55.100,0.07,4.421811842306639,43.698418333333336,-79.34313166666666,1,64.8,2.1,83.2706401141763
2019-06-12 15:20:14.100,0.08,17.695198067334005,43.70192833333334,-79.32326333333333,1,87.6,1.0,278.4093012032779
2019-06-12 15:22:32.100,0.12,36.131049264195696,43.70168333333334,-79.31914666666667,1,71.2,1.8,547.8370219579402
2019-06-12 15:24:52.100,0.32,23.931309856947603,43.70110333333334,-79.313525,2,125.7,2.4,161.57164770000387
2019-06-12 15:54:48.300,0.09,5.33489940801838,43.70930333333333,-79.31764,1,47.2,1.0,83.907099622353
2019-06-12 16:17:38.300,0.07,3.7185685734377647,43.706315000000004,-79.3084,1,74.1,1.4,67.54062856820585
2019-06-12 16:19:31.400,0.06,2.573363024355952,43.70328166666667,-79.305035,1,160.8,2.0,52.631293457175005
2019-06-12 16:20:02.400,0.07,5.8822179116397955,43.70258333333334,-79.30474833333334,1,191.5,1.1,107.6722552459507
2019-06-12 16:24:21.400,0.06,4.127528551770034,43.70037166666667,-79.30081,1,122.5,1.5,90.53794878676409
2019-06-12 16:30:08.400,0.08,0.302599113522047,43.69776166666666,-79.30315666666667,1,262.8,0.2,5.237640328107055
2019-06-12 16:51:51.500,0.07,3.612390281967844,43.69842833333333,-79.30452666666666,1,347.5,1.3,78.29969373519305
2019-06-12 16:56:20.600,0.13,10.987705519816986,43.70127333333333,-79.31675333333334,1,10.4,2.1,122.24423654404981
2019-06-12 18:01:27.800,0.05,0.08339909915782454,43.71040166666667,-79.41088666666667,1,222.1,3.1,3.5467072162614386
2019-06-12 18:26:45.900,0.08,8.839944759706958,43.67696666666666,-79.40291500000002,1,191.9,2.2,160.61671239860289
