Date,Enhancement_ppm,Area_ppm.m,Latitude,Longitude,Level,wd_corr,ws_corr,width_m
2017-08-10 15:49:21.780,0.04,0.08936980591111261,43.66047,-79.39901,0,312.4,1.2,2.8273250404368806
2017-08-10 16:02:31.780,0.04,2.59521291228182,43.648975,-79.3906,1,153.4,1.6,77.03324321672422
2017-08-10 16:05:14.880,0.31,85.0627708422268,43.64636833333334,-79.38856,2,124.1,1.0,666.4481629154676
2017-08-10 16:10:02.880,0.11,15.202306315994683,43.6409,-79.38358166666667,1,203.3,2.0,301.03400265276537
2017-08-10 16:11:27.880,0.03,0.49969311102936137,43.639465,-79.382645,0,109.7,1.4,19.39321704521407
2017-08-10 16:12:32.880,0.03,0.5315899549642737,43.63959000000001,-79.382485,0,74.4,1.1,19.32729829131891
2017-08-10 16:18:55.880,0.15,169.79422712536066,43.643543333333334,-79.36975666666666,1,62.2,2.9,2154.0860874949844
2017-08-10 16:26:42.880,0.13,11.958766079906114,43.64813333333333,-79.35458166666666,1,84.3,2.5,218.93136111402669
2017-08-10 16:39:28.980,0.38,151.64126689936296,43.65128166666667,-79.34739666666667,2,175.1,1.6,989.3736740507603
2017-08-10 16:55:59.080,3.35,703.5650388150157,43.64996,-79.34911333333334,3,111.3,2.4,859.3532727123469
2017-08-10 17:13:15.080,6.46,981.502807153417,43.65046,-79.348005,3,100.4,3.2,989.267583151733
2017-08-10 17:22:06.180,0.17,57.434693737841094,43.65153,-79.33775666666666,1,74.5,2.3,847.8068919240135
2017-08-10 17:32:27.180,1.45,690.6302568753508,43.65848,-79.322325,3,84.5,2.2,2032.3740649947902
2017-08-10 17:42:03.180,0.08,6.546089714374419,43.66146333333333,-79.317635,1,108.5,1.4,135.72946316736983
2017-08-10 17:43:52.180,0.07,3.5832660085189665,43.661825,-79.31291166666666,1,117.9,2.6,70.97270001248137
2017-08-10 17:46:13.180,0.05,14.763449752734303,43.66107666666666,-79.31089166666666,1,104.8,0.7,377.13661357880244
2017-08-10 17:47:44.280,0.06,4.341541989915666,43.66181333333334,-79.31437833333334,1,83.3,1.5,88.88575590226186
2017-08-10 17:49:13.280,0.05,4.79404026708884,43.66304666666666,-79.31101833333334,1,114.6,3.0,136.67599115074955
2017-08-10 17:51:54.280,0.05,22.0887119580461,43.66463,-79.30464833333333,1,90.5,2.9,578.9536069263945
2017-08-10 17:54:36.280,0.05,6.917624096927488,43.665503333333334,-79.30443666666666,1,60.0,1.6,215.16951246871994
2017-08-10 17:56:43.280,0.03,1.7616072832460694,43.66862833333333,-79.30635500000002,0,339.3,1.3,64.0577895922903
2017-08-10 17:58:02.280,0.05,2.8165301119353856,43.66761666666667,-79.31109666666667,1,275.9,0.8,79.55446713155524
2017-08-10 18:00:42.280,0.03,1.891658303581771,43.66585333333333,-79.31494333333333,0,142.8,1.4,71.2915262387956
2017-08-10 18:02:52.280,0.15,17.80278972490243,43.66366333333333,-79.320365,1,211.2,0.6,242.00345883994981
2017-08-10 18:09:16.280,0.81,181.7310585533849,43.65978166666667,-79.33308666666667,2,280.9,0.6,1232.5280223923464
2017-08-10 18:15:41.280,0.17,61.33097742965043,43.65733333333333,-79.34389333333333,1,337.0,0.8,862.518581629882
2017-08-10 18:20:00.280,0.03,1.9493741641830906,43.65514833333334,-79.35920333333334,0,83.7,1.1,77.3935495928898
2017-08-10 18:20:26.280,0.04,4.606312776385792,43.65526333333333,-79.36088833333334,0,179.5,0.9,159.69749065785558
2017-08-10 18:25:54.280,0.21,16.067443739981027,43.65652333333333,-79.36011666666667,2,33.2,2.9,170.25891313160147
2017-08-10 18:29:22.280,0.12,28.776088338613306,43.65882833333333,-79.34995833333333,1,1.5,1.7,664.3255642409503
2017-08-10 18:36:02.380,0.25,186.60097774527213,43.66301833333333,-79.33117666666666,2,59.6,1.1,1506.6349939559768
2017-08-10 18:39:33.380,0.06,9.700448899479998,43.66528,-79.32121666666667,1,152.4,2.4,269.9648727062615
2017-08-10 19:56:11.500,0.18,288.3860613368272,43.65827666666666,-79.33114,1,58.5,3.4,3482.5604670207467
2017-08-10 20:13:27.600,0.18,16.96548974419079,43.65142,-79.34804666666666,1,5.0,0.7,207.0973832980203
2017-08-10 20:15:55.600,0.03,3.3520207701788163,43.651065,-79.35104833333334,0,94.6,0.6,116.12436055717937
2017-08-10 20:17:31.600,0.03,0.7265683050209665,43.65091166666666,-79.35217833333333,0,64.4,0.4,24.93894588552797
2017-08-10 20:20:14.600,0.49,91.59887424443275,43.648815,-79.35403166666667,2,124.6,0.9,745.006628792626
2017-08-10 20:25:59.600,0.11,18.89744166402997,43.64316,-79.37082,1,283.6,1.1,325.10045779344284
2017-08-10 20:27:21.600,0.05,6.926631875677787,43.64194000000001,-79.37443499999998,1,161.4,1.0,229.7346618213169
2017-08-10 20:30:34.700,0.04,16.24130440230738,43.63961666666667,-79.38146,1,343.4,1.6,501.0191125956666
2017-08-10 20:31:44.600,0.07,12.048188324538367,43.638755,-79.38663333333334,1,28.2,3.2,266.73020284328186
2017-08-10 20:34:24.600,0.08,30.267569358479857,43.637843333333336,-79.39174166666666,1,240.0,2.1,663.7044854173205
2017-08-10 20:39:43.700,0.03,0.05683003146451947,43.64259000000001,-79.39365,0,133.9,1.4,2.098140999342217
2017-08-10 20:41:21.800,0.05,16.827772217902627,43.64392,-79.39423666666667,1,45.1,2.6,447.20447171522903
2017-08-10 20:44:49.800,0.29,35.559965045192065,43.64879833333333,-79.39624333333333,2,64.6,3.2,524.3780670554847
2017-08-10 20:48:02.800,0.04,6.190617410539682,43.65164833333333,-79.39287,1,140.7,1.0,171.96317748664148
2017-08-10 20:48:54.800,0.03,1.2934245910085114,43.653545,-79.393715,0,147.5,1.5,48.286593730762604
2017-08-10 20:50:34.700,0.07,5.956004614264768,43.65591,-79.394645,1,41.3,1.3,122.21328868682933
