gps_time,alt,amb,ch4,ch4d,co,co2,co2d,cod,cog,gasp,h2o,hdop,heading,lat,lon,pressure,rd1,rd2,sog,t,temp,wd_corr,wd_uncorr,ws_corr,ws_uncorr
2018-07-06 13:59:23.600,184.7,25.5260636925,1.8617631219,1.8849310295,1.8776123963,411.6747464861,416.79777359,1.9009776243,272.9,140.6647094339,12291.3993209573,0.9,150.4,43.6012083333,-79.6921533333,1002.5,6.4948168612,7.1742349942,0,25.8391807858,20.5,10.1,224.4,3.7,6.8
2018-07-06 13:59:24.600,184.7,25.5321190724,1.8662633168,1.8896083329,1.9107248813,412.8569868736,418.0214322405,1.9346292603,142,140.6382796307,12354.4793194979,0.9,150.4,43.6012066667,-79.6921566667,1002.4,6.4933840996,7.170010375,0,25.8391029683,20.5,29,238.6,2.5,4.7
2018-07-06 13:59:25.600,184.6,25.5368454373,1.8745747909,1.8981382767,1.9541860871,413.0140453752,418.2057367488,1.9787478233,276.4,140.6219108306,12414.1119567876,0.9,150.4,43.601205,-79.6921583333,1002.4,6.4852799216,7.1655131976,0,25.8389407875,20.5,337.2,172.9,2,4.6
2018-07-06 13:59:26.600,184.6,25.5393361482,1.8759254457,1.8994500891,1.7570647326,412.7516233474,417.9276938158,1.7791036191,139.8,140.6480956189,12384.9449900372,0.9,150.4,43.601205,-79.6921616667,1002.3,6.4902751509,7.1698337241,0,25.8386859301,20.5,320.2,172.7,3.7,7.8
2018-07-06 13:59:27.600,184.7,25.5431050067,1.879595005,1.90295313,1.7619466993,413.321764448,418.4581394464,1.7838412063,111.4,140.6554874036,12274.4186895804,0.9,150.4,43.6012033333,-79.6921633333,1002.5,6.4903153735,7.1679712313,0,25.8384350016,20.5,332.6,183.1,5.8,11.7
2018-07-06 13:59:28.600,184.7,25.5469573278,1.8806593758,1.9039875791,1.8977839327,413.5684046084,418.6983890255,1.9213242921,134.5,140.6347140491,12252.2117746975,0.9,150.4,43.6012016667,-79.6921616667,1002.5,6.4910342738,7.1662053722,0,25.8384779711,20.5,350.3,200.2,6.3,12.2
2018-07-06 13:59:29.600,184.9,25.5528795362,1.8793955658,1.9027086134,1.8125895485,413.2399047719,418.3659905149,1.8350726859,317.7,140.6356047509,12252.6300674062,0.9,150.3,43.6012,-79.6921616667,1002.4,6.4971109279,7.1696842349,0,25.8381047627,20.5,333.9,181.8,4.5,8.5
2018-07-06 13:59:30.600,185.2,25.5578237147,1.8802517124,1.9036350545,1.7590582026,413.2352268135,418.3744454273,1.780936261,157,140.6431762081,12283.7276404905,0.9,150.3,43.6011983333,-79.6921583333,1002.4,6.4988706437,7.1686159865,0,25.8381446938,20.5,328,174.1,3.9,8
2018-07-06 13:59:31.600,185.7,25.5613229507,1.8841695485,1.9076806418,1.9427962295,413.4561835891,418.6154209537,1.9670408635,225,140.6472532565,12324.4647493728,0.9,150.2,43.6011966667,-79.6921566667,1002.4,6.4884683634,7.1696559572,0,25.8378751559,20.5,325.7,176.5,4.5,9.1
2018-07-06 13:59:32.600,186.1,25.5650607892,1.8843000335,1.9078492921,1.8258392798,413.7697833592,418.9408930332,1.8486642127,106.8,140.6401583794,12343.3189177112,0.9,150.2,43.6011966667,-79.6921533333,1002.5,6.4878828002,7.1690735305,0,25.8378386998,20.5,328.5,177.3,4.9,10.2
2018-07-06 13:59:33.600,186.7,25.5690896405,1.8835837116,1.9070565276,1.6947777008,413.6740995994,418.8291655333,1.7158962983,0.5,140.6494952442,12308.3631426132,1,150.3,43.6011966667,-79.6921516667,1002.5,6.4941688335,7.167636483,0,25.8376268851,20.5,337.3,185.5,4.8,8.8
2018-07-06 13:59:34.600,187.4,25.5731053133,1.8823164398,1.9057300959,1.8254337815,413.6226311697,418.7675248952,1.848142308,323.7,140.6389406436,12285.9252570495,0.9,150.3,43.6011966667,-79.6921516667,1002.4,6.494656926,7.1702876857,0,25.8374468747,20.5,339.4,189.7,2.9,5.3
2018-07-06 13:59:35.600,188,25.5759892265,1.8843348002,1.9077204408,1.7254516025,413.7319676184,418.8665988679,1.7468652764,322,140.6350827777,12258.4742048808,0.9,150.2,43.601195,-79.6921516667,1002.5,6.4910906911,7.1681952928,0,25.837411719,20.5,314.1,160.4,3.7,8.1
2018-07-06 13:59:36.600,188.3,25.5795760304,1.8879255436,1.9114178272,1.764657198,414.1345353796,419.2877540367,1.7866137137,184.1,140.6391916507,12290.4628564965,0.9,150.2,43.601195,-79.6921516667,1002.5,6.4931704192,7.167447088,0,25.8373696855,20.5,303.6,157.2,5.6,9.6
2018-07-06 13:59:37.600,188.4,25.5808089076,1.8919339405,1.9154470352,1.5194755592,413.938351186,419.0828341415,1.5383789334,355.9,140.6674156365,12275.5241268696,0.9,150.2,43.6011966667,-79.6921516667,1002.5,6.4949261295,7.1711996117,0,25.8369970548,20.5,314.5,168,3.6,7
2018-07-06 13:59:38.600,188.3,25.5847704729,1.8940069699,1.9175027358,1.5160211937,413.642452221,418.7738585331,1.5348550121,237.4,140.654137477,12253.2816896573,0.9,150.3,43.601195,-79.6921533333,1002.5,6.4962062496,7.1710642602,0,25.8368190626,20.5,338.8,188,4.2,7.7
2018-07-06 13:59:39.600,188.3,25.5896378074,1.8971681647,1.920941727,1.738068636,414.5539409129,419.7487799281,1.759844329,298.4,140.634707817,12375.9933637125,0.9,150.2,43.601195,-79.6921533333,1002.5,6.4936449447,7.1675813413,0,25.8367607817,20.5,332.9,183.5,3.9,7.4
2018-07-06 13:59:40.600,188.2,25.5926828634,1.9018418687,1.9256527254,1.5349126216,414.4809956414,419.6703097453,1.5541303343,188.4,140.6323714255,12365.0596999751,0.9,150.3,43.6011966667,-79.69215,1002.5,6.4908410017,7.1736556071,0,25.8365057138,20.5,341.4,187.4,4.5,9.7
