gps_time,alt,amb,ch4,ch4d,co,co2,co2d,cod,cog,gasp,h2o,hdop,heading,lat,lon,pressure,rd1,rd2,sog,t,temp,wd_corr,wd_uncorr,ws_corr,ws_uncorr
2020-09-23 15:17:00.700000048,72.4,28.521518935284902,2.106946727004604,2.143248844453692,0.4613350442968844,418.1862135745052,424.51550144899267,0.31883798855386647,70.9,50.54365523533871,15239.663277364425,0.9,119.7,43.650166666666664,-79.346625,1005.2,9.875715166523886,24.66016079853632,0.1,24.411296007318384,23.8,85.2,319.9,0.5,0.6
2020-09-23 15:17:01.700000048,72.5,28.522816596678435,2.106819404784447,2.139497861233947,0.32219517600577746,418.01663892607985,424.6657169623993,0.47195909427057015,116.7,50.472498148523584,15151.504619223204,0.9,118.0,43.650166666666664,-79.346625,1005.2,9.877553830565363,24.663425364254394,1.6,24.412978809568894,23.8,93.7,346.5,1.0,1.9
2020-09-23 15:17:02.700000048,72.4,28.527546929049425,2.106263550319815,2.13924527849669,0.3764341266811584,417.46889636373805,424.4426568159136,0.324198418298124,114.0,50.43233001497397,15185.99844751719,0.9,106.3,43.650166666666664,-79.34662333333333,1005.2,9.876711207952825,24.662552989240954,3.3,24.41469995914519,23.8,71.2,344.3,1.5,3.2
2020-09-23 15:17:03.700000048,72.3,28.533882428129992,2.0945882397842364,2.1387292467035164,0.27119695571877217,416.75795382219,423.89583251664914,0.38436411769626555,114.5,50.62587243465625,15094.376961574379,0.9,91.8,43.65016,-79.34660500000001,1005.2,9.875807196483752,24.657406274946727,5.5,24.41575690395578,23.8,114.4,356.4,0.9,5.3
2020-09-23 15:17:04.700000048,72.2,28.53895158373007,2.1053923087180624,2.126394906073377,0.03411938820176266,418.35242351845403,423.1284372740772,0.2721461096918367,120.2,50.4578760844944,15228.256754378704,0.9,118.7,43.65014833333333,-79.34657833333333,1005.3,9.87381799556235,24.66175843845818,7.2,24.415296572635945,23.8,107.6,358.7,0.8,5.0
2020-09-23 15:17:05.700000048,72.1,28.542871505789552,2.1012197020967966,2.1379306567690346,0.35050913029295977,417.89507673280724,424.8201891068316,0.03492192388421611,130.4,50.34458983138303,15077.86053251641,0.9,135.6,43.65013166666667,-79.34655,1005.3,9.877704083720326,24.670176118670547,8.5,24.416147014833818,23.8,137.7,353.9,1.1,6.0
2020-09-23 15:17:06.700000048,72.2,28.539814225818635,2.0785379306794622,2.1332795374740354,0.1502987378121205,415.2896971288294,424.27927530573726,0.361509881753517,142.4,50.78970451614599,15057.20883789704,0.9,151.3,43.65010666666666,-79.34652666666666,1005.2,9.873438628262267,24.66177963024512,9.8,24.41944848464705,23.8,153.5,1.6,1.2,6.5
2020-09-23 15:17:07.700000048,72.3,28.548938861265732,2.108886757701801,2.109653180166309,0.19678189363399176,419.21193373946033,421.5629124271865,0.14477018455709156,148.5,50.44849592208122,15226.034202586841,0.9,152.9,43.65007666666666,-79.3465,1005.2,9.875306368525232,24.664633892331675,11.8,24.420350414077838,23.8,161.5,3.9,1.3,8.1
2020-09-23 15:17:08.700000048,72.5,28.5471200960956,2.086902856452022,2.141457855561481,0.15086233827877044,416.2847133928063,425.6895527635251,0.199745178993585,144.7,50.65398164869189,15069.09585282255,0.9,144.5,43.650045,-79.34646666666667,1005.2,9.876552967868035,24.656460288286794,13.1,24.421299969970125,23.8,194.1,6.4,1.4,8.8
2020-09-23 15:17:09.700000048,72.9,28.55059292497917,2.0820517761085346,2.11809970569799,0.3765746010743992,416.4250580459355,422.55544388575845,0.15160887868790343,136.7,50.89087342568111,15106.308853956867,0.9,127.9,43.65001333333333,-79.346425,1005.2,9.880702702965605,24.662993339592994,14.4,24.423250207306914,23.8,206.0,13.1,1.3,9.4
2020-09-23 15:17:10.700000048,73.1,28.55274894195172,2.0994641932510754,2.113995589789731,0.24669646284971797,418.82162757551225,422.8111357596601,0.38219003557506886,119.0,50.573326400934306,15157.123548792937,0.9,97.3,43.64999666666667,-79.34637166666667,1005.2,9.875436950596056,24.658053174144847,14.4,24.424694259366202,23.7,222.3,15.5,1.1,8.6
2020-09-23 15:17:11.700000048,73.2,28.554966742475887,2.096869852172019,2.1320649109237353,0.31209241998170556,418.0200847547777,425.3060292623248,0.24805107171876056,101.1,50.51189874914786,15088.00035630506,0.9,78.0,43.64999666666667,-79.34631833333333,1005.2,9.875637599878692,24.66004251383514,14.8,24.42658491395645,23.7,221.8,13.7,0.8,7.7
2020-09-23 15:17:12.700000048,73.7,28.557262612520223,2.0800613128887475,2.128980593601479,0.22628766134119607,415.16717011522877,424.4221849250416,0.31694321304637824,79.8,50.87264279687178,14851.900460336414,0.9,57.9,43.65001333333333,-79.34627333333333,1005.3,9.877071594143446,24.664619251671756,13.8,24.42811039946971,23.7,244.3,7.0,0.7,6.3
2020-09-23 15:17:13.700000048,74.4,28.55923792655182,2.0983469219846667,2.1109208056379183,0.0915954171641836,419.40199105413024,421.3418004550165,0.2270452115021686,65.0,50.65860747481532,15086.96454509459,0.9,55.1,43.650034999999995,-79.34623166666667,1005.2,9.878291775824016,24.66693139250464,13.8,24.43090852333952,23.6,257.7,10.3,1.8,4.9
2020-09-23 15:17:14.700000048,74.9,28.562302428560375,2.092326860393231,2.130513753381878,0.18855650527677767,417.7398576103543,425.8317786466898,0.09283561574035665,55.8,50.7243047785305,15035.932543997731,0.9,53.8,43.650059999999996,-79.34618666666667,1005.2,9.877187140096373,24.66089829034504,14.6,24.43216223041047,23.6,235.2,350.9,1.8,4.4
2020-09-23 15:17:15.700000048,75.2,28.557441022378704,2.084780631075722,2.12409849791203,0.12598385923392832,417.4449526652263,424.0717936158005,0.19390569534217467,50.4,50.94231634697401,15154.602335749953,0.9,45.4,43.65008666666667,-79.34614166666667,1005.3,9.878607939420661,24.657129536112667,15.1,24.43368769328639,23.6,223.8,350.7,1.1,4.8
2020-09-23 15:17:16.700000048,75.3,28.56357479000451,2.0803777283194105,2.1168294387689297,0.0005100510684746123,416.6811105881535,423.86776849824963,0.1276430895767962,54.3,51.34506297674433,14829.23247024561,0.9,52.2,43.650104999999996,-79.34609166666667,1005.2,9.878321219838492,24.66058576855093,15.1,24.435393087581883,23.6,253.1,3.5,0.7,6.4
2020-09-23 15:17:17.700000048,75.4,28.567729884972795,2.1156669960173913,2.1121999601842885,0.24455420923340618,422.54988357159647,423.03765875263474,0.0035647364791290452,58.0,50.68448834242653,15312.883431631884,0.9,53.6,43.650121666666664,-79.34603833333334,1005.2,9.874407465713096,24.66338434596663,15.5,24.437628461878855,23.6,284.1,358.1,0.5,6.6
2020-09-23 15:17:18.700000048,75.5,28.569959389904348,2.092617295500259,2.1480750682031777,0.10197948421182071,418.73071131566695,429.03975426654137,0.245408886386593,58.5,50.66281521813598,14917.90381726994,0.9,57.7,43.65014166666667,-79.34598833333334,1005.2,9.876248278802997,24.662435650982424,15.9,24.439661042942088,23.6,305.8,355.9,0.4,8.2
2020-09-23 15:17:19.700000048,75.2,28.574431733681596,2.0925020884345975,2.1243097972323377,0.1776480245604591,418.6423565301261,425.07211253786073,0.10354327460527464,59.1,50.676831702840246,14942.66001958968,0.9,56.9,43.65016166666667,-79.34593666666666,1005.2,9.874547685039053,24.666098614360703,16.6,24.441458026370647,23.6,337.0,354.2,0.3,8.3
2020-09-23 15:17:20.700000048,74.8,28.572761910031705,2.0759107939607238,2.1239641866262082,0.011568170764377429,417.3674502923795,424.9687234924121,0.1774890578341023,57.6,51.14082648535386,14842.954358064979,0.9,54.7,43.65018666666667,-79.345885,1005.1,9.87599715714768,24.660558134358762,17.0,24.44317412548067,23.6,300.6,355.5,0.6,9.3
2020-09-23 15:17:21.700000048,74.4,28.577949922092042,2.088310351695821,2.1072089627141435,0.23837317233323443,421.1181388421487,423.66503294334404,0.012286425626427708,57.7,51.10205696721227,15023.817935428722,0.9,48.1,43.65021333333333,-79.34583833333333,1005.2,9.872807243738835,24.663558642181506,17.2,24.44471373400086,23.6,235.9,353.5,1.0,8.6
2020-09-23 15:17:22.700000048,74.4,28.580441313972262,2.097640923993522,2.1204242040012473,0.30778017996635393,423.8746972632865,427.60784142984113,0.24370491160920427,59.1,50.794321744036566,15155.973911442148,0.9,50.2,43.650234999999995,-79.34578833333333,1005.1,9.878487361037626,24.663317372055477,17.2,24.44682874289197,23.5,240.9,359.3,1.4,6.8
2020-09-23 15:17:23.700000048,74.6,28.57794213724033,2.069245841529052,2.1295239072046668,0.18176732302688653,421.53889051991376,430.35747328294116,0.3111414942150611,60.5,51.493481885569835,14849.699641181427,0.9,45.0,43.65025333333333,-79.34573666666667,1005.2,9.874530534310082,24.668654231664963,17.2,24.44731558746436,23.5,228.5,359.4,1.2,7.5
2020-09-23 15:17:24.700000048,74.8,28.586908524472555,2.120983226511682,2.1015843651198556,0.1073713095930176,431.1928448775951,428.1044719831784,0.18266577080935584,59.9,50.72115257763992,15115.955722219787,0.9,54.4,43.65027666666667,-79.34568333333333,1005.2,9.876902121068918,24.655045069760963,17.0,24.44877064317863,23.5,235.2,8.7,1.1,7.7
