Date,Enhancement_ppm,Area_ppm.m,Latitude,Longitude,Level,wd_corr,ws_corr,width_m
2019-05-24 13:25:46.900,0.01,0.061222580717193976,43.66105833333334,-79.39924333333333,0,292.0,2.4,10.22793186679117
2019-05-24 13:27:36.000,0.12,11.438605491030847,43.66046,-79.39721666666667,2,113.5,0.4,272.55369627987596
2019-05-24 13:28:33.000,0.02,1.1011913034954375,43.65870833333334,-79.396295,1,277.4,2.3,93.42942748145302
2019-05-24 13:30:39.000,0.02,0.7982401149903124,43.657709999999994,-79.40175,0,190.3,3.4,77.12636048872531
2019-05-24 13:31:10.000,0.02,1.926295469867715,43.65737333333333,-79.40320666666666,1,252.0,2.4,176.57956804902076
2019-05-24 13:33:37.000,0.07,4.875373693163281,43.65656666666667,-79.407535,1,109.3,0.6,190.1582661377462
2019-05-24 13:39:14.000,0.07,17.738648549356917,43.655125,-79.41941666666666,2,248.8,3.3,714.6411522597332
2019-05-24 13:40:54.000,0.03,1.5259377611735587,43.65447833333333,-79.42247833333333,1,57.0,1.7,126.61176341103877
2019-05-24 13:41:27.000,0.04,1.7233302449304657,43.65428666666666,-79.42339166666666,1,258.3,5.1,112.78320892567093
2019-05-24 13:42:55.000,0.07,5.829246246786867,43.65374666666666,-79.42624333333333,1,255.0,1.9,252.2999119405436
2019-05-24 13:45:41.000,0.04,1.3445910480261163,43.65267833333333,-79.43225,1,84.4,1.8,91.93143084819117
2019-05-24 13:47:05.000,0.05,5.298095415690709,43.652145000000004,-79.43486166666666,1,331.4,1.4,199.70965125226414
2019-05-24 13:48:09.000,0.03,2.3070089750328693,43.65173,-79.43708166666667,1,198.5,1.7,168.52243032256578
2019-05-24 13:49:11.000,0.02,0.5791510971766761,43.65057166666666,-79.43723833333334,0,350.1,2.3,71.42225560083544
2019-05-24 13:49:15.000,0.02,1.6552116126155176,43.65048166666666,-79.43719833333333,1,334.1,1.8,158.47427898920412
2019-05-24 13:51:02.100,0.01,0.13001618800549564,43.65017333333334,-79.43852166666667,0,270.6,2.5,19.259437926358757
2019-05-24 13:54:46.100,0.06,8.316085006346757,43.64879166666667,-79.43786,2,135.3,0.3,374.5020167924492
2019-05-24 13:56:41.100,0.02,1.6505383279878492,43.64761166666667,-79.43615,1,248.1,1.4,113.7725284533161
2019-05-24 13:57:27.100,0.04,2.727546348115877,43.646359999999994,-79.43583166666667,1,264.5,1.1,187.96907833041732
2019-05-24 14:00:08.100,0.05,6.438568858467498,43.645920000000004,-79.43012166666666,1,9.3,0.9,332.11800815733505
2019-05-24 14:01:26.100,0.03,2.6119503485424658,43.64754333333333,-79.43012,1,356.9,1.8,182.33803952866998
2019-05-24 14:05:14.100,0.02,0.6118423803341769,43.642133333333334,-79.42673,0,34.0,2.8,58.56725295855912
2019-05-24 14:05:55.100,0.03,2.447427484324302,43.64155166666666,-79.42527333333334,1,114.7,3.4,151.22460898815348
2019-05-24 14:09:41.100,0.16,8.5628902049339,43.64315833333333,-79.42362166666666,2,26.6,2.0,394.95984440408563
2019-05-24 14:11:09.100,0.11,11.890166283619024,43.64306166666667,-79.42430666666667,2,43.8,0.7,226.94765823255048
2019-05-24 14:14:02.100,0.02,0.4985364313762854,43.645705,-79.42581166666666,0,24.2,2.5,52.75060631633934
2019-05-24 14:14:39.100,0.02,0.42399462277725214,43.646634999999996,-79.42620166666667,0,354.9,2.1,48.56366877485958
2019-05-24 14:15:03.100,0.03,0.7509893814634819,43.64695333333334,-79.42673333333333,0,150.4,0.9,76.98913559669832
2019-05-24 14:15:54.100,0.02,0.31458784357509295,43.647729999999996,-79.42740500000002,0,343.8,2.6,32.23767598577913
2019-05-24 14:16:11.100,0.01,0.3608062444353402,43.64804166666666,-79.427525,0,79.3,0.4,35.160525860818666
2019-05-24 14:16:38.200,0.02,0.2438754017471873,43.64845166666666,-79.42766,0,298.8,0.8,26.725740485147558
2019-05-24 14:17:14.200,0.01,0.3918869378475614,43.64901333333334,-79.42791,0,341.4,1.0,44.666211634367464
2019-05-24 14:17:45.200,0.02,0.24131340797514608,43.64940166666667,-79.42809,0,13.4,3.3,30.80235200426456
2019-05-24 14:19:27.200,0.02,0.7908481972060901,43.64787000000001,-79.42607,0,345.5,3.1,78.26288489541345
2019-05-24 14:20:02.200,0.04,1.3575587930172217,43.647088333333336,-79.42514166666666,1,280.7,0.3,82.23994891495109
2019-05-24 14:20:47.200,0.02,0.7869107841869306,43.64549,-79.42450500000002,0,205.5,2.1,71.07847345786959
2019-05-24 14:21:59.200,0.04,3.4193160449765903,43.64371166666667,-79.42330666666666,1,314.9,0.7,178.45597022838774
2019-05-24 14:24:03.200,0.02,0.1619600938016626,43.644,-79.42184166666667,0,2.9,0.4,18.218144871193488
2019-05-24 14:25:18.200,0.02,1.0414830654919167,43.64520166666666,-79.42170833333333,1,350.5,4.0,115.03822558613962
2019-05-24 14:26:41.200,0.13,6.036391648069792,43.64606,-79.41966500000002,1,279.4,1.3,185.2620528640407
2019-05-24 14:28:13.200,0.03,1.8677241339984183,43.64730333333333,-79.42076833333333,1,29.3,1.3,141.33765020469372
2019-05-24 14:29:59.200,0.03,0.6669425171947514,43.647816666666664,-79.42407,0,358.6,0.8,47.20836079019466
2019-05-24 14:30:36.200,0.02,0.4202792135597013,43.64874166666666,-79.42440166666667,0,9.9,2.0,45.265352977786115
2019-05-24 14:31:52.200,0.03,1.0306638861477713,43.64935833333333,-79.42441166666667,1,270.8,1.9,83.15559865026816
2019-05-24 14:32:07.200,0.03,1.5112970474959506,43.649384999999995,-79.42418,1,219.6,1.7,93.0787905738354
2019-05-24 14:34:51.200,0.02,0.9261740888544031,43.652004999999996,-79.4219,0,202.1,1.2,77.23019706594337
2019-05-24 14:35:12.200,0.03,2.6374167184588333,43.651270000000004,-79.42156999999997,1,239.3,1.0,160.29317305016306
2019-05-24 14:38:08.200,0.06,13.32994396486663,43.64508666666666,-79.41921500000002,2,328.8,1.3,544.1607950642235
2019-05-24 14:39:20.200,0.03,3.2842417157512216,43.64465333333333,-79.41658666666666,1,105.7,2.0,189.71305761871704
2019-05-24 14:41:38.200,0.02,0.6353672021887314,43.64760166666667,-79.41730666666666,0,1.0,2.7,53.38158744938543
