Date,Enhancement_ppm,Area_ppm.m,Latitude,Longitude,Level,wd_corr,ws_corr,width_m
2018-06-28 15:33:48.500,0.04,4.785486473592398,43.77491166666667,-79.52475333333334,1,63.4,0.5,275.03048837793506
2018-06-28 15:36:31.500,0.11,4.601804814826382,43.773775,-79.53040166666666,1,279.3,1.5,102.68079638029658
2018-06-28 15:39:25.600,0.02,1.4793767725580849,43.772225,-79.53791833333334,1,332.5,4.3,131.30449733009965
2018-06-28 15:43:35.500,0.03,2.6629530286544205,43.77097666666667,-79.54412333333333,1,335.8,1.7,143.7570282629475
2018-06-28 15:46:18.500,0.06,4.3641909012644255,43.76985333333333,-79.54953166666667,1,323.5,2.9,209.09435201790114
2018-06-28 15:48:33.500,0.03,1.266942347766276,43.76865,-79.55541333333333,1,313.4,2.9,69.96544800117483
2018-06-28 15:49:58.500,0.02,1.9246837592968262,43.76785166666666,-79.55931,1,308.5,4.0,124.84456822015454
2018-06-28 15:51:23.600,0.06,3.7882319619364395,43.76707833333333,-79.56299166666666,1,303.9,1.6,142.6401795793783
2018-06-28 15:53:45.700,0.02,1.4449361872928703,43.765925,-79.56842333333333,1,255.6,3.5,105.46201263325594
2018-06-28 15:55:13.700,0.04,1.8050681282540784,43.76501666666667,-79.57254833333333,1,356.1,0.7,84.96795748939869
2018-06-28 15:59:12.700,0.03,1.5934425008016364,43.764295000000004,-79.575645,1,181.6,1.0,76.2160628971674
2018-06-28 16:01:17.700,0.04,1.3836835047744358,43.76417666666666,-79.574915,1,349.7,4.7,73.20096174922354
2018-06-28 16:44:20.900,0.02,0.0198547685862252,43.76384333333333,-79.57644,0,40.7,1.3,1.6905902674612443
2018-06-28 16:08:01.700,0.38,234.01934698489472,43.75948333333334,-79.58989333333334,3,317.7,0.3,1349.626443282329
2018-06-28 16:10:10.700,0.02,2.0120205597344296,43.75944833333333,-79.59455333333334,1,308.4,2.2,163.95298097946122
2018-06-28 16:11:17.700,0.02,1.075583168260896,43.75917833333333,-79.59688833333334,1,326.7,2.0,93.27810975390557
2018-06-28 16:21:54.800,0.02,0.06208073604798138,43.76223833333334,-79.60583166666666,0,287.8,3.5,5.060030163067802
2018-06-28 16:24:21.800,0.03,1.9782900079545584,43.76377166666666,-79.60303,1,16.1,1.1,106.08046291169022
2018-06-28 16:28:26.800,0.02,0.060823962906319404,43.76302666666667,-79.606075,0,354.1,2.7,4.907525950875738
2018-06-28 16:40:16.900,0.42,185.94496175215266,43.76030333333333,-79.58331,3,306.0,2.7,1555.4379473998727
2018-06-28 17:03:38.900,0.6,226.11773385178788,43.759809999999995,-79.58778666666667,3,16.9,0.7,1033.8691309222404
2018-06-28 17:10:25.000,0.02,1.2247364159620564,43.75926333333334,-79.590775,1,274.2,4.1,80.45223842475092
2018-06-28 17:12:01.000,0.01,0.01991378909072911,43.75918166666666,-79.59219499999998,0,314.2,1.9,1.8081086125806718
2018-06-28 17:15:04.000,0.68,236.26125366957422,43.760238333333334,-79.58357,3,22.8,0.5,1120.266951027657
2018-06-28 17:18:16.000,0.04,5.297274487321926,43.76397166666667,-79.57579333333334,1,53.6,1.6,217.10931464896996
2018-06-28 17:25:23.000,0.09,7.56736094250755,43.76635666666667,-79.564965,1,356.7,1.6,323.4623570963809
2018-06-28 17:28:45.100,0.02,0.5442838442174633,43.767855,-79.557765,0,5.5,2.1,56.10703780422504
2018-06-28 17:32:21.100,0.04,2.7997117358567496,43.769295,-79.55093000000002,1,310.4,2.6,126.51534572806473
2018-06-28 17:34:20.100,0.02,0.9556126950264485,43.76983333333333,-79.54831166666666,0,330.4,0.2,69.37016959259985
2018-06-28 17:35:27.100,0.02,1.3912282005065855,43.77029333333334,-79.54601,1,297.6,2.4,98.98691743465314
2018-06-28 17:38:42.100,0.02,1.0760260619331135,43.77144333333333,-79.54033333333334,1,19.0,1.4,87.81478648273696
2018-06-28 17:41:35.100,0.03,2.8509784050161824,43.77308166666667,-79.53226,1,291.0,1.9,164.19680386140158
2018-06-28 17:43:37.100,0.02,0.8962545783699997,43.774075,-79.52731333333334,0,69.6,1.5,67.67613395238939
2018-06-28 17:44:18.100,0.15,8.322152193532359,43.774181666666664,-79.52677666666666,2,14.9,3.9,147.90927240271122
2018-06-28 17:45:47.100,0.02,1.5416584493805303,43.775095,-79.522645,1,111.5,1.3,115.24105071685362
2018-06-28 17:50:59.100,0.03,1.5757618995563016,43.77731666666666,-79.51220333333333,1,314.5,1.8,89.1776811511828
