Date,Enhancement_ppm,Area_ppm.m,Latitude,Longitude,Level,wd_corr,ws_corr,width_m
2019-07-03 14:20:15.900,0.14,10.223322013079143,43.66028,-79.39765166666666,2,95.7,2.4,117.91814070333982
2019-07-03 14:26:29.900,0.07,12.578313454192692,43.665655,-79.38464833333333,2,177.1,0.9,295.809094490802
2019-07-03 14:27:22.900,0.1,4.758751375307234,43.66525166666667,-79.383195,1,173.7,1.1,98.49535362426114
2019-07-03 14:31:08.000,0.06,4.765908361793138,43.666645,-79.374545,1,172.4,2.1,123.41375997887219
2019-07-03 14:34:16.000,0.12,63.782808647202025,43.658475,-79.37110833333334,3,152.7,1.4,1151.0008606576598
2019-07-03 14:41:24.000,0.06,6.974116673931962,43.64518166666666,-79.36503,1,107.4,3.3,166.76131744635774
2019-07-03 14:44:37.000,0.13,17.918508303063394,43.64782,-79.35459499999997,2,177.1,1.2,289.16168202016024
2019-07-03 14:48:09.000,0.06,3.938294186328889,43.641735,-79.34938000000002,1,210.3,2.2,99.39438892511627
2019-07-03 15:02:51.100,0.06,11.253160759261988,43.63853333333334,-79.32261,2,203.7,2.5,272.18662255720204
2019-07-03 15:04:15.100,0.06,8.04050030327285,43.63531666666667,-79.32355,2,192.4,3.4,221.5793545503594
2019-07-03 15:13:06.100,0.2,40.70353247782918,43.63407833333334,-79.32381166666667,2,115.3,1.9,400.4389706662792
2019-07-03 15:14:33.100,0.08,7.24920197164048,43.63105166666666,-79.32314333333333,1,189.3,4.4,145.8166351676482
2019-07-03 15:16:51.100,0.12,44.11944508137674,43.62592333333333,-79.32367833333333,2,196.8,4.0,657.1067315308952
2019-07-03 16:01:39.200,1.09,481.8038481587065,43.66107833333334,-79.31968166666667,3,112.8,3.0,1365.3729929357987
2019-07-03 16:16:18.400,0.06,0.12145684744534098,43.66183166666666,-79.31146166666667,1,147.4,1.2,3.2926193806893003
2019-07-03 16:44:03.500,0.8,404.3842054631731,43.66129,-79.31860833333333,3,212.7,1.1,1078.9337576797557
2019-07-03 16:48:30.500,0.05,1.770146657385688,43.65906333333334,-79.32781166666666,1,173.4,2.6,58.71337929148193
2019-07-03 16:50:24.500,0.08,4.3217453516377615,43.659385,-79.32828,1,216.1,2.0,95.72536181314571
2019-07-03 16:58:34.600,0.13,9.28127636542602,43.65390666666666,-79.34070333333334,2,242.5,4.0,131.27767338532368
2019-07-03 17:01:54.600,1.26,270.6755719093882,43.65134833333333,-79.34698333333333,3,202.2,2.0,653.4230236029422
2019-07-03 17:08:37.600,0.09,5.219239241168643,43.65718333333334,-79.35427833333334,1,132.2,1.3,101.16328388524796
2019-07-03 17:10:55.600,0.05,0.42898173058227446,43.65725833333333,-79.35633833333333,1,150.5,2.9,10.96977516736271
2019-07-03 17:12:02.600,0.07,4.658308464325522,43.657759999999996,-79.35669,1,62.7,1.2,91.5237209549171
2019-07-03 17:17:16.600,0.07,2.3032869523534396,43.65681166666667,-79.36574833333333,1,56.1,2.5,48.225450998843925
2019-07-03 17:17:31.600,0.09,7.637315989117405,43.65668166666666,-79.36629833333333,1,349.4,0.6,133.94524149584413
2019-07-03 17:23:24.600,0.09,12.188292012516234,43.65639166666666,-79.37601,2,234.5,0.9,212.39218857351702
2019-07-03 17:30:45.700,0.52,32.294882445816114,43.659115,-79.38263666666667,2,243.7,0.7,205.13918148947175
2019-07-03 17:31:38.700,0.05,2.94090053954113,43.65861666666667,-79.38444333333334,1,112.0,0.6,76.739438696108
2019-07-03 17:32:33.700,0.16,53.94554953842106,43.65874833333334,-79.38514833333333,2,259.2,1.0,497.6194962785683
